,text,intersection,coordinates.coordinates,created_at,place.bounding_box.coordinates,place.country,place.country_code,place.full_name,user.created_at,user.location
14,Road construction. three left lanes closed in #FortWorth on 35W SB between Berry St and Seminary Dr #DFWTraffic https://t.co/4NzBppXRvr,35W SB between Berry St and Seminary Dr,"[-97.32055, 32.70593]",Mon Jan 14 04:57:26 +0000 2019,"[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]",United States,US,"Fort Worth, TX",Thu May 21 21:15:33 +0000 2009,Dallas/Fort Worth
15,Closed due to road construction in #Evergreen on 6th Ave. Frwy Both EB/WB between US 40 and CO-119 #COtraffic https://t.co/gWR42BHdvb,6th Ave. Frwy Both EB/WB between US 40 and CO-119,"[-105.4311, 39.74258]",Mon Jan 14 04:43:56 +0000 2019,"[[[-109.060257, 36.992427], [-102.041524, 36.992427], [-102.041524, 41.003445], [-109.060257, 41.003445]]]",United States,US,"Colorado, USA",Wed Feb 09 00:14:13 +0000 2011,"Denver, CO"
16,Road closed due to broken water main in #Phoenix on 7th Ave Both NB/SB at Deer Vly Rd #PHXtraffic https://t.co/hUIi7YWVvM,7th Ave Both NB/SB at Deer Vly Rd,"[-112.0829, 33.68369]",Mon Jan 14 04:08:58 +0000 2019,"[[[-112.3239143, 33.29026], [-111.9254391, 33.29026], [-111.9254391, 33.8154652], [-112.3239143, 33.8154652]]]",United States,US,"Phoenix, AZ",Wed Feb 09 22:48:40 +0000 2011,"Phoenix, AZ"
17,Road construction. three left lanes closed in #FortWorth on 35W SB between Morningside Dr and Seminary Dr… https://t.co/mSqz9axgJX,35W SB between Morningside Dr and Seminary Dr,"[-97.32055, 32.713]",Mon Jan 14 04:07:56 +0000 2019,"[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]",United States,US,"Fort Worth, TX",Thu May 21 21:15:33 +0000 2009,Dallas/Fort Worth
18,"Road construction. three left lanes closed in #FortWorth on 35W SB between Allen Ave and Seminary Dr, stop and go... https://t.co/4NzBppXRvr",35W SB between Allen Ave and Seminary Dr,"[-97.3204, 32.72612]",Mon Jan 14 04:01:12 +0000 2019,"[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]",United States,US,"Fort Worth, TX",Thu May 21 21:15:33 +0000 2009,Dallas/Fort Worth
19,"Road construction. two left lanes closed in #FortWorth on 35W SB between Allen Ave and Seminary Dr, stop and go traffic back to Rosedale St","35W SB between Allen Ave and Seminary Dr,","[-97.3204, 32.72612]",Mon Jan 14 04:00:09 +0000 2019,"[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]",United States,US,"Fort Worth, TX",Thu May 21 21:15:33 +0000 2009,Dallas/Fort Worth
20,"Closed due to road construction on 288 S Fwy NB at The S Lp, stopped traffic back to Reed Rd. #traffic https://t.co/vuUN2yElDh",288 S Fwy NB at The S Lp,"[-95.38122, 29.68057]",Mon Jan 14 03:45:11 +0000 2019,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",United States,US,"Houston, TX",Wed Feb 09 21:09:17 +0000 2011,"Houston, TX"
21,"Road construction. two left lanes closed in #FortWorth on 35W SB at Allen Ave, stop and go traffic back to Rosedale St, delay of 1 min",35W SB at Allen Ave,"[-97.3204, 32.72612]",Mon Jan 14 03:23:02 +0000 2019,"[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]",United States,US,"Fort Worth, TX",Thu May 21 21:15:33 +0000 2009,Dallas/Fort Worth
22,Closed due to road construction in #Southside on S Sam Houston Tollway EB between Hwy 288 and Cullen #traffic https://t.co/vuUN2yElDh,S Sam Houston Tollway EB,"[-95.37297, 29.59789]",Mon Jan 14 00:23:18 +0000 2019,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",United States,US,"Houston, TX",Wed Feb 09 21:09:17 +0000 2011,"Houston, TX"
23,All eastbound lanes are closed due to snow and ice on the road. in #Valyermo on Angeles Crest Hwy EB between CA-39 and Big Pines Hwy,Angeles Crest Hwy EB between CA-39 and Big Pines Hwy,"[-117.8511, 34.35686]",Sun Jan 13 23:27:31 +0000 2019,"[[[-124.482003, 32.528832], [-114.131212, 32.528832], [-114.131212, 42.009519], [-124.482003, 42.009519]]]",United States,US,"California, USA",Wed Aug 12 21:43:18 +0000 2009,Southern California
24,"For Monday, January 14, all RCPS schools wii be closed due to inclement weather and some hazardous road, parking lo… https://t.co/EXNvu2c2ST",,,Sun Jan 13 21:30:54 +0000 2019,"[[[-80.595589, 37.0900216], [-80.513486, 37.0900216], [-80.513486, 37.146017], [-80.595589, 37.146017]]]",United States,US,"Radford, VA",Sat Mar 15 23:41:20 +0000 2014,"Radford, VA"
25,"From ACPS... Due to anticipated road conditions tomorrow, Monday 1/14, schools will be closed.  Stay safe, Mustangs… https://t.co/mEHzhndync",,,Sun Jan 13 21:08:40 +0000 2019,"[[[-83.67529, 36.540739], [-75.16644, 36.540739], [-75.16644, 39.466012], [-83.67529, 39.466012]]]",United States,US,"Virginia, USA",Wed Oct 29 14:34:42 +0000 2014,"Charlottesville, VA"
26,"Tolton Catholic will remain closed tomorrow, January 14, due to concerns about road conditions.  Please watch commu… https://t.co/ju7ZMZnsIp",,,Sun Jan 13 19:24:49 +0000 2019,"[[[-95.774704, 35.995476], [-89.098843, 35.995476], [-89.098843, 40.613641], [-95.774704, 40.613641]]]",United States,US,"Missouri, USA",Fri Apr 08 03:15:39 +0000 2011,"Columbia, MO"
27,Closed due to road construction on I-275 Both NB/SB at Kilby Rd #traffic https://t.co/oaARUiexk1,I-275 Both NB/SB at Kilby Rd,"[-84.77818, 39.18605]",Sun Jan 13 19:22:43 +0000 2019,"[[[-84.8203089, 38.403186], [-80.518626, 38.403186], [-80.518626, 42.327133], [-84.8203089, 42.327133]]]",United States,US,"Ohio, USA",Wed Feb 09 00:05:57 +0000 2011,"Cincinnati, OH"
