,text,intersection,coordinates.coordinates,created_at,place.bounding_box.coordinates,place.country,place.country_code,place.full_name,user.created_at,user.location
66,Major Crash on AL71 SB @ MP7.1 at AL40 in Dutton. Road closed. Seek alternate route. More details: https://t.co/7F1rTMZvng,,"[-85.87664, 34.633676]",Sat Jan 12 13:29:44 +0000 2019,"[[[-88.473228, 30.144425], [-84.888247, 30.144425], [-84.888247, 35.008029], [-88.473228, 35.008029]]]",United States,US,"Alabama, USA",Thu Apr 25 12:37:19 +0000 2013,Alabama
67,The road leading to the house authorities believe Jayme Closs was kept in is still closed off this morning. Yesterd… https://t.co/hBKJMBsbDi,,,Sat Jan 12 12:47:06 +0000 2019,"[[[-92.889433, 42.491921], [-86.24955, 42.491921], [-86.24955, 47.309715], [-92.889433, 47.309715]]]",United States,US,"Wisconsin, USA",Thu Sep 22 15:05:18 +0000 2011,"Minneapolis, MN"
68,At 3:54 AM we responded to an overturned vehicle on the Borchard Road on-tamp to southbound US 101. This was a solo… https://t.co/ypheCYwR01,,,Sat Jan 12 12:41:58 +0000 2019,"[[[-119.061758, 34.126875], [-118.776015, 34.126875], [-118.776015, 34.2500812], [-119.061758, 34.2500812]]]",United States,US,"Thousand Oaks, CA",Thu Feb 04 03:05:41 +0000 2016,"Moorpark, CA"
69,"Closed due to road construction in #TheWoodlands on I-45 N Fwy Outbound between Rayford and Woodlands Pkwy, stopp... https://t.co/vuUN2yElDh",,"[-95.44265, 30.12672]",Sat Jan 12 11:57:54 +0000 2019,"[[[-95.452477, 30.076095], [-95.349469, 30.076095], [-95.349469, 30.173617], [-95.452477, 30.173617]]]",United States,US,"Oak Ridge North, TX",Wed Feb 09 21:09:17 +0000 2011,"Houston, TX"
70,"Road construction, two lanes closed in #Miami on I-95 SB at NW 79th St #SFLtraffic https://t.co/US2j7IOBPL",,"[-80.20754, 25.84713]",Sat Jan 12 11:32:43 +0000 2019,"[[[-80.321683, 25.7090404], [-80.144974, 25.7090404], [-80.144974, 25.855667], [-80.321683, 25.855667]]]",United States,US,"Miami, FL",Wed Feb 09 21:43:21 +0000 2011,"Miami, FL"
71,Closed due to road construction in #TheWoodlands on I-45 N Fwy Outbound between Rayford and Woodlands Pkwy #traffic https://t.co/vuUN2yElDh,,"[-95.44265, 30.12672]",Sat Jan 12 11:14:08 +0000 2019,"[[[-95.452477, 30.076095], [-95.349469, 30.076095], [-95.349469, 30.173617], [-95.452477, 30.173617]]]",United States,US,"Oak Ridge North, TX",Wed Feb 09 21:09:17 +0000 2011,"Houston, TX"
72,Closed due to road construction in #GoldenGlades on 95 Express SB between Golden Glades Exit and Downtown Miami Exit #SFLtraffic,,"[-80.1969, 25.93733]",Sat Jan 12 10:11:14 +0000 2019,"[[[-80.22942, 25.9282505], [-80.185106, 25.9282505], [-80.185106, 25.960642], [-80.22942, 25.960642]]]",United States,US,"Norland, FL",Wed Feb 09 21:43:21 +0000 2011,"Miami, FL"
73,Traffic Alert: #Hwy1 near Oso Flaco Lake Rd between Guadalupe &amp; Nipomo is CLOSED each way due to flooding. Use caut… https://t.co/rw702U51bd,,"[-120.6419654, 35.2684417]",Sat Jan 12 08:19:16 +0000 2019,"[[[-120.533212, 35.003173], [-120.447468, 35.003173], [-120.447468, 35.0526881], [-120.533212, 35.0526881]]]",United States,US,"Nipomo, CA",Thu Nov 18 17:27:55 +0000 2010,"San Luis Obispo, CA"
74,BIG conference win on the road! Closed game on 18-5 run and got stops when we needed them most! Great effort by all… https://t.co/GuM4cejlXO,,,Sat Jan 12 05:24:32 +0000 2019,"[[[-77.89204, 34.148545], [-77.841997, 34.148545], [-77.841997, 34.197681], [-77.89204, 34.197681]]]",United States,US,"Masonboro, NC",Tue Aug 04 14:25:09 +0000 2009,
75,"1XX Vinal Street, national grid off with some kind of gas issue, road is closed, drivers should seek alternate routes @Revere311",,,Sat Jan 12 03:24:16 +0000 2019,"[[[-71.033007, 42.388503], [-70.959648, 42.388503], [-70.959648, 42.4499], [-71.033007, 42.4499]]]",United States,US,"Revere, MA",Sun Oct 07 18:33:07 +0000 2012,
76,Road closed --- due to an accident in #Wittmann on Grand Ave WB at 203rd Ave and before 211th Ave #PHXtraffic https://t.co/hUIi7YWVvM,,"[-112.5004, 33.75608]",Sat Jan 12 02:46:02 +0000 2019,"[[[-114.818269, 31.3322463], [-109.0451527, 31.3322463], [-109.0451527, 37.004261], [-114.818269, 37.004261]]]",United States,US,"Arizona, USA",Wed Feb 09 22:48:40 +0000 2011,"Phoenix, AZ"
77,Road closed --- due to an accident in #Wittmann on Grand Ave WB west of 203rd Ave #PHXtraffic https://t.co/hUIi7YWVvM,,"[-112.5004, 33.75608]",Sat Jan 12 02:24:18 +0000 2019,"[[[-114.818269, 31.3322463], [-109.0451527, 31.3322463], [-109.0451527, 37.004261], [-114.818269, 37.004261]]]",United States,US,"Arizona, USA",Wed Feb 09 22:48:40 +0000 2011,"Phoenix, AZ"
78,Major Crash on Day St. WB at Hill St. in Montgomery. Road closed. Seek alternate route. More details: https://t.co/62nZgpXee2,,"[-86.329568, 32.368882]",Sat Jan 12 01:29:37 +0000 2019,"[[[-86.418059, 32.2845933], [-86.071398, 32.2845933], [-86.071398, 32.443697], [-86.418059, 32.443697]]]",United States,US,"Montgomery, AL",Thu Apr 25 12:37:19 +0000 2013,Alabama
79,Road closed due to broken water main in #Phoenix on 7th Ave Both NB/SB at Deer Vly Rd #PHXtraffic https://t.co/hUIi7YWVvM,,"[-112.0829, 33.68369]",Sat Jan 12 01:24:52 +0000 2019,"[[[-112.3239143, 33.29026], [-111.9254391, 33.29026], [-111.9254391, 33.8154652], [-112.3239143, 33.8154652]]]",United States,US,"Phoenix, AZ",Wed Feb 09 22:48:40 +0000 2011,"Phoenix, AZ"
80,"Road construction, right lane closed in #PaTurnpike on PATP WB between Pittsburgh and Allegheny Vly #traffic https://t.co/SL0Oqn0Vyr",,"[-79.75074, 40.43871]",Sat Jan 12 00:26:48 +0000 2019,"[[[-79.8196766, 40.385071], [-79.7038286, 40.385071], [-79.7038286, 40.46208], [-79.8196766, 40.46208]]]",United States,US,"Municipality of Monroeville, PA",Wed Feb 09 22:54:23 +0000 2011,"Pittsburgh, PA"
81,"Road construction, right lane closed in #PaTurnpike on PATP EB between PA-18 and Cranberry #traffic https://t.co/SL0Oqn0Vyr",,"[-80.32491, 40.81398]",Sat Jan 12 00:10:09 +0000 2019,"[[[-80.338862, 40.788267], [-80.312045, 40.788267], [-80.312045, 40.836946], [-80.338862, 40.836946]]]",United States,US,"Big Beaver, PA",Wed Feb 09 22:54:23 +0000 2011,"Pittsburgh, PA"
82,"Road construction, left lane closed in #Brevard on I 95 NB at US-192 #traffic https://t.co/YKhnnOgYFK",,"[-80.70588, 28.0788]",Sat Jan 12 00:09:37 +0000 2019,"[[[-80.7061232, 28.057132], [-80.670763, 28.057132], [-80.670763, 28.092459], [-80.7061232, 28.092459]]]",United States,US,"June Park, FL",Wed Feb 09 22:41:41 +0000 2011,"Orlando, FL"
83,The road I live in is closed. (For good reason) https://t.co/Ugq1h7KF6M,,,Fri Jan 11 23:41:30 +0000 2019,"[[[-95.774704, 35.995476], [-89.098843, 35.995476], [-89.098843, 40.613641], [-95.774704, 40.613641]]]",United States,US,"Missouri, USA",Sun Apr 15 20:00:36 +0000 2012,"Columbia, MO"
84,The Bookmobile will not be on the road tomorrow due to expected road conditions. If a travel advisory is issued for… https://t.co/EHz6VBoFNy,,,Fri Jan 11 20:41:37 +0000 2019,"[[[-91.51308, 36.970298], [-87.019935, 36.970298], [-87.019935, 42.508303], [-91.51308, 42.508303]]]",United States,US,"Illinois, USA",Wed Oct 17 03:22:46 +0000 2018,"Illinois, USA"
85,"Road construction, right lane closed in #Albuquerque on Juan Tabo Blvd SB from Candelaria Rd to past Indian School Rd #traffic",,"[-106.5156, 35.11618]",Fri Jan 11 19:21:38 +0000 2019,"[[[-106.7916912, 35.0158912], [-106.473745, 35.0158912], [-106.473745, 35.218114], [-106.7916912, 35.218114]]]",United States,US,"Albuquerque, NM",Tue Feb 08 23:44:59 +0000 2011,Albuquerque
86,Closed due to road construction in #Sw on Goff NB north of Quiet Ln #traffic https://t.co/roJyGryxFq,,"[-106.6793, 35.0591]",Fri Jan 11 19:21:37 +0000 2019,"[[[-106.736956, 34.938902], [-106.626779, 34.938902], [-106.626779, 35.084125], [-106.736956, 35.084125]]]",United States,US,"South Valley, NM",Tue Feb 08 23:44:59 +0000 2011,Albuquerque
87,Road construction-- right and center lane closed in #Albuquerque on Gibson Blvd EB east of Louisiana Blvd #traffic https://t.co/roJyGryxFq,,"[-106.5688, 35.05817]",Fri Jan 11 19:21:37 +0000 2019,"[[[-106.7916912, 35.0158912], [-106.473745, 35.0158912], [-106.473745, 35.218114], [-106.7916912, 35.218114]]]",United States,US,"Albuquerque, NM",Tue Feb 08 23:44:59 +0000 2011,Albuquerque
88,"Road construction, right lane closed in #Albuquerque on Comanche Rd EB from Morris St to Juan Tabo Blvd #traffic https://t.co/roJyGryxFq",,"[-106.5245, 35.12348]",Fri Jan 11 19:21:37 +0000 2019,"[[[-106.7916912, 35.0158912], [-106.473745, 35.0158912], [-106.473745, 35.218114], [-106.7916912, 35.218114]]]",United States,US,"Albuquerque, NM",Tue Feb 08 23:44:59 +0000 2011,Albuquerque
89,"I never thought I would see my Face/Name on #ProWrestling flyer.

When I started this #ProWrestling training road m… https://t.co/MW7Sot9904",,"[-81.27518444, 28.46750066]",Fri Jan 11 18:33:50 +0000 2019,"[[[-81.507905, 28.3882177], [-81.2276403, 28.3882177], [-81.2276403, 28.615139], [-81.507905, 28.615139]]]",United States,US,"Orlando, FL",Tue Jul 18 19:11:30 +0000 2017,"Columbia, SC "
90,"Road construction, right lane closed in #Latham on Hwy 2 WB between Swatling Rd and Grove Ave #traffic https://t.co/Lz3PqqUkWC",,"[-73.73634, 42.73992]",Fri Jan 11 17:50:14 +0000 2019,"[[[-73.832933, 42.676375], [-73.694717, 42.676375], [-73.694717, 42.801868], [-73.832933, 42.801868]]]",United States,US,"Latham, NY",Fri Aug 14 12:10:09 +0000 2009,"Albany, NY"
91,"We're excited to say:
Dupont Road Is Wide Open Again!

No, we weren't closed... the road widening construction has… https://t.co/rV2xCV0xna",,,Fri Jan 11 17:49:20 +0000 2019,"[[[-85.336872, 40.95926], [-85.003231, 40.95926], [-85.003231, 41.214574], [-85.336872, 41.214574]]]",United States,US,"Fort Wayne, IN",Sat Oct 17 00:47:27 +0000 2009,"Fort Wayne, Indiana"
92,@The_Jank @moneyries @TheVic @WSDAH Go down north 12th street all the way to thr River. The road is closed now to t… https://t.co/L3OqSYT8hG,,,Fri Jan 11 16:41:26 +0000 2019,"[[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]]",United States,US,"Brooklyn, NY",Fri Mar 06 22:32:12 +0000 2009,"Greenpoint Brooklyn, NY"
93,Closed due to road construction in #Albuquerque on Cutler Both EB/WB west of Washington St #traffic https://t.co/roJyGryxFq,,"[-106.5956, 35.10558]",Fri Jan 11 16:30:33 +0000 2019,"[[[-106.7916912, 35.0158912], [-106.473745, 35.0158912], [-106.473745, 35.218114], [-106.7916912, 35.218114]]]",United States,US,"Albuquerque, NM",Tue Feb 08 23:44:59 +0000 2011,Albuquerque
94,"Road construction, left lane closed in #Albuquerque on Tijeras Ave EB west of 3rd St #traffic https://t.co/roJyGryxFq",,"[-106.65, 35.08653]",Fri Jan 11 14:34:42 +0000 2019,"[[[-106.7916912, 35.0158912], [-106.473745, 35.0158912], [-106.473745, 35.218114], [-106.7916912, 35.218114]]]",United States,US,"Albuquerque, NM",Tue Feb 08 23:44:59 +0000 2011,Albuquerque
95,"Road construction, shoulder closed in #ElPaso on I 10 Both EB/WB from Executive Ctr Blvd to Sunland Park Dr #traffic https://t.co/nZ2qPHc0XJ",,"[-106.52, 31.79295]",Fri Jan 11 14:27:27 +0000 2019,"[[[-106.634874, 31.6206683], [-106.199987, 31.6206683], [-106.199987, 31.966068], [-106.634874, 31.966068]]]",United States,US,"El Paso, TX",Thu Feb 10 20:42:54 +0000 2011,"El Paso, TX"
96,"Road construction, left lane closed in #BloomfieldHills on Telegraph Rd Both NB/SB at Fairfax Ave #traffic https://t.co/93KUmrD8jO",,"[-83.31035, 42.61461]",Fri Jan 11 14:20:07 +0000 2019,"[[[-83.325363, 42.529187], [-83.206336, 42.529187], [-83.206336, 42.620953], [-83.325363, 42.620953]]]",United States,US,"Bloomfield Township, MI",Wed Feb 09 00:19:01 +0000 2011,"Detroit, MI"
97,"There’s no Wells Fargo Bank on Beatties Ford Road, and the two ATMs they had, they’ve closed them. From Johnson C S… https://t.co/tyVMCXzcMr",,,Fri Jan 11 13:50:43 +0000 2019,"[[[-81.046876, 35.001706], [-80.646695, 35.001706], [-80.646695, 35.416412], [-81.046876, 35.416412]]]",United States,US,"Charlotte, NC",Sun Oct 28 02:31:30 +0000 2018,"Hyattsville, MD"
98,"PLATTESCHOOLS: Due to the current weather conditions, and hazardous road conditions, all schools will be closed tod… https://t.co/p6xYJzp8Pd",,,Fri Jan 11 13:28:39 +0000 2019,"[[[-109.060257, 36.992427], [-102.041524, 36.992427], [-102.041524, 41.003445], [-109.060257, 41.003445]]]",United States,US,"Colorado, USA",Tue Jun 23 15:09:48 +0000 2015,"Colorado, USA"
99,Road closed due to broken water main in #Phoenix on 7th Ave Both NB/SB at Deer Vly Rd #PHXtraffic https://t.co/hUIi7YWVvM,,"[-112.0829, 33.68369]",Fri Jan 11 12:37:24 +0000 2019,"[[[-112.3239143, 33.29026], [-111.9254391, 33.29026], [-111.9254391, 33.8154652], [-112.3239143, 33.8154652]]]",United States,US,"Phoenix, AZ",Wed Feb 09 22:48:40 +0000 2011,"Phoenix, AZ"
100,"Road construction, left lane closed in #EastBatonRouge on I 10 EB between Perkins Rd and Acadian Thruway #traffic https://t.co/1WyWN3ulTM",,"[-91.15829, 30.42489]",Fri Jan 11 10:45:20 +0000 2019,"[[[-91.218994, 30.354161], [-90.962605, 30.354161], [-90.962605, 30.5640391], [-91.218994, 30.5640391]]]",United States,US,"Baton Rouge, LA",Fri Nov 30 03:23:31 +0000 2012,"Baton Rouge, LA"
101,Road construction. off ramp left lanes closed in #FortLauderdale on I-95 SB at Cypress Crk Rd #SFLtraffic https://t.co/US2j7IOBPL,,"[-80.14423, 26.20347]",Fri Jan 11 09:22:26 +0000 2019,"[[[-80.196625, 26.1504888], [-80.1170267, 26.1504888], [-80.1170267, 26.209352], [-80.196625, 26.209352]]]",United States,US,"Oakland Park, FL",Wed Feb 09 21:43:21 +0000 2011,"Miami, FL"
102,Road construction. four right lanes closed in #NorthwestDade on I-75 NB at Miami Gardens Dr #SFLtraffic https://t.co/US2j7IOBPL,,"[-80.35038, 25.93483]",Fri Jan 11 09:21:24 +0000 2019,"[[[-80.3520669, 25.9233988], [-80.293194, 25.9233988], [-80.293194, 25.9571644], [-80.3520669, 25.9571644]]]",United States,US,"Country Club, FL",Wed Feb 09 21:43:21 +0000 2011,"Miami, FL"
103,Road construction. two left lanes closed in #Miami on I-95 SB at NW 62nd St #SFLtraffic https://t.co/US2j7IOBPL,,"[-80.20599, 25.8323]",Fri Jan 11 09:20:22 +0000 2019,"[[[-80.321683, 25.7090404], [-80.144974, 25.7090404], [-80.144974, 25.855667], [-80.321683, 25.855667]]]",United States,US,"Miami, FL",Wed Feb 09 21:43:21 +0000 2011,"Miami, FL"
104,Road construction. two right lanes closed in #Tamarac on SR-91 Florida's Tpke SB before Commercial Blvd #SFLtraffic https://t.co/US2j7IOBPL,,"[-80.21102, 26.19168]",Fri Jan 11 09:17:17 +0000 2019,"[[[-80.298308, 26.178836], [-80.1629613, 26.178836], [-80.1629613, 26.230749], [-80.298308, 26.230749]]]",United States,US,"Tamarac, FL",Wed Feb 09 21:43:21 +0000 2011,"Miami, FL"
105,Off ramp closed due to road construction in #Broward on I-595 WB at Florida's Tpke #SFLtraffic https://t.co/US2j7IOBPL,,"[-80.21637, 26.0906]",Fri Jan 11 09:16:16 +0000 2019,"[[[-80.369507, 26.0295373], [-80.2008709, 26.0295373], [-80.2008709, 26.1268035], [-80.369507, 26.1268035]]]",United States,US,"Davie, FL",Wed Feb 09 21:43:21 +0000 2011,"Miami, FL"
106,Road construction. two right lanes closed in #Davie on I-595 WB before Davie Rd #SFLtraffic https://t.co/US2j7IOBPL,,"[-80.22179, 26.09226]",Fri Jan 11 09:15:13 +0000 2019,"[[[-80.369507, 26.0295373], [-80.2008709, 26.0295373], [-80.2008709, 26.1268035], [-80.369507, 26.1268035]]]",United States,US,"Davie, FL",Wed Feb 09 21:43:21 +0000 2011,"Miami, FL"
107,"Check yo people, just passed by there closed road. There’s a tent in the middle https://t.co/v34JjpO44H",,,Fri Jan 11 06:34:49 +0000 2019,"[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]",United States,US,"Los Angeles, CA",Mon Sep 07 03:02:46 +0000 2015,
108,Closed due to road construction in #Marysville on I-5 SB from 116th St #traffic https://t.co/12UyGMOG9h,,"[-122.1847, 48.10011]",Fri Jan 11 06:01:42 +0000 2019,"[[[-122.220382, 48.0199614], [-122.108673, 48.0199614], [-122.108673, 48.157553], [-122.220382, 48.157553]]]",United States,US,"Marysville, WA",Wed Feb 09 23:51:14 +0000 2011,"Seattle, WA"
109,The 2 mile long road where #JaymeCloss was found is blocked off completely. No scene visible but some law enforceme… https://t.co/68L6MdYMeF,,,Fri Jan 11 05:52:46 +0000 2019,"[[[-92.889433, 42.491921], [-86.24955, 42.491921], [-86.24955, 47.309715], [-92.889433, 47.309715]]]",United States,US,"Wisconsin, USA",Wed Aug 26 01:52:00 +0000 2009,"Minneapolis, MN"
110,All week I’ve been wondering what road GMCB is and why is it going to be closed Saturday. Today it dawned on me tha… https://t.co/XIWPPd27cu,,,Fri Jan 11 02:03:02 +0000 2019,"[[[-74.372774, 41.3145902], [-74.3319614, 41.3145902], [-74.3319614, 41.371199], [-74.372774, 41.371199]]]",United States,US,"Florida, NY",Mon Feb 17 23:37:23 +0000 2014,"Orange County, New York "
111,Copper Hill Road in West Suffield is closed between Griffin Road and Stratton Farms due to serious motor vehicle co… https://t.co/U6NYIAx0fW,,,Fri Jan 11 01:26:04 +0000 2019,"[[[-72.676766, 41.943462], [-72.604969, 41.943462], [-72.604969, 42.032005], [-72.676766, 42.032005]]]",United States,US,"Suffield, CT",Fri Mar 29 13:32:42 +0000 2013,"Suffield, CT"
112,Closed due to road construction in #RailroadTracks on Thousand Oaks Dr WB between I 35 and Wurzbach Pkwy #traffic https://t.co/UUKZ2x9VCU,,"[-98.38946, 29.53325]",Fri Jan 11 01:07:14 +0000 2019,"[[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]]",United States,US,"San Antonio, TX",Wed Feb 09 23:42:58 +0000 2011,"San Antonio, TX"
113,Closed due to road construction in #SanAntonio on Thousand Oaks Dr EB between Wurzbach Pkwy and I 35 #traffic https://t.co/UUKZ2x9VCU,,"[-98.39405, 29.53596]",Fri Jan 11 01:07:14 +0000 2019,"[[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]]",United States,US,"San Antonio, TX",Wed Feb 09 23:42:58 +0000 2011,"San Antonio, TX"
114,Crash involving Overturned Vehicle on I-20 EB @ MP135.9 past Exit 136: I459 in Birmingham. Road closed. Seek altern… https://t.co/Rs77oWzGYO,,"[-86.662232, 33.545616]",Fri Jan 11 00:04:42 +0000 2019,"[[[-86.726188, 33.484861], [-86.6179766, 33.484861], [-86.6179766, 33.575092], [-86.726188, 33.575092]]]",United States,US,"Irondale, AL",Thu Apr 25 12:37:19 +0000 2013,Alabama
115,also because we got new huge recycling bins when I was little and my sister convinced me to get inside then her and… https://t.co/TGvEVJQ7dc,,,Fri Jan 11 00:01:48 +0000 2019,"[[[-81.046876, 35.001706], [-80.646695, 35.001706], [-80.646695, 35.416412], [-81.046876, 35.416412]]]",United States,US,"Charlotte, NC",Sat Mar 03 15:54:10 +0000 2012,
116,"From the City of Fair Oaks Ranch: ALERT!
Ralph Fair Rd CLOSED between Fair Oaks Pkwy and Keeneland.
Fair Oaks PD &amp;… https://t.co/vDkkLPXCkO",,,Thu Jan 10 23:16:36 +0000 2019,"[[[-98.669703, 29.712404], [-98.62326, 29.712404], [-98.62326, 29.774218], [-98.669703, 29.774218]]]",United States,US,"Fair Oaks Ranch, TX",Tue Mar 17 10:22:12 +0000 2009,"Fair Oaks Ranch, TX"
117,Road closed. broken glass on roadway. in #CoralSprings on SR-869 Sawgrass Expy NB from Sample Rd to Coral Rdg Dr #SFLtraffic,,"[-80.29725, 26.27842]",Thu Jan 10 21:34:51 +0000 2019,"[[[-80.297884, 26.228692], [-80.2016611, 26.228692], [-80.2016611, 26.31183], [-80.297884, 26.31183]]]",United States,US,"Coral Springs, FL",Wed Feb 09 21:43:21 +0000 2011,"Miami, FL"
118,#Traffic: Bowen Road in #Lancaster is CLOSED between Broadway &amp; William Street due to downed power lines.,,,Thu Jan 10 20:48:58 +0000 2019,"[[[-78.912276, 42.826008], [-78.79485, 42.826008], [-78.79485, 42.966451], [-78.912276, 42.966451]]]",United States,US,"Buffalo, NY",Mon Oct 12 12:39:42 +0000 2009,"Buffalo, NY"
119,"Road construction, right lane closed in #SanAntonio on I-35 NB at Weidner, stopped traffic back to Lp 410, delay of 12 mins #traffic",,"[-98.3792, 29.53987]",Thu Jan 10 20:03:12 +0000 2019,"[[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]]",United States,US,"San Antonio, TX",Wed Feb 09 23:42:58 +0000 2011,"San Antonio, TX"
120,"Road construction, left lane closed in #SanAntonio on I-35 NB at Weidner, stopped traffic back to Lp 410, delay of 12 mins #traffic",,"[-98.3792, 29.53987]",Thu Jan 10 19:53:23 +0000 2019,"[[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]]",United States,US,"San Antonio, TX",Wed Feb 09 23:42:58 +0000 2011,"San Antonio, TX"
121,"Road construction, right lane closed in #Albuquerque on Juan Tabo Blvd SB from Candelaria Rd to past Indian School Rd #traffic",,"[-106.5156, 35.11618]",Thu Jan 10 19:20:12 +0000 2019,"[[[-106.7916912, 35.0158912], [-106.473745, 35.0158912], [-106.473745, 35.218114], [-106.7916912, 35.218114]]]",United States,US,"Albuquerque, NM",Tue Feb 08 23:44:59 +0000 2011,Albuquerque
122,Closed due to road construction in #Sw on Goff NB north of Quiet Ln #traffic https://t.co/roJyGryxFq,,"[-106.6793, 35.0591]",Thu Jan 10 19:20:11 +0000 2019,"[[[-106.736956, 34.938902], [-106.626779, 34.938902], [-106.626779, 35.084125], [-106.736956, 35.084125]]]",United States,US,"South Valley, NM",Tue Feb 08 23:44:59 +0000 2011,Albuquerque
123,Road construction-- right and center lane closed in #Albuquerque on Gibson Blvd EB east of Louisiana Blvd #traffic https://t.co/roJyGryxFq,,"[-106.5688, 35.05817]",Thu Jan 10 19:20:11 +0000 2019,"[[[-106.7916912, 35.0158912], [-106.473745, 35.0158912], [-106.473745, 35.218114], [-106.7916912, 35.218114]]]",United States,US,"Albuquerque, NM",Tue Feb 08 23:44:59 +0000 2011,Albuquerque
124,"Road construction, right lane closed in #Albuquerque on Comanche Rd EB from Morris St to Juan Tabo Blvd #traffic https://t.co/roJyGryxFq",,"[-106.5245, 35.12348]",Thu Jan 10 19:20:11 +0000 2019,"[[[-106.7916912, 35.0158912], [-106.473745, 35.0158912], [-106.473745, 35.218114], [-106.7916912, 35.218114]]]",United States,US,"Albuquerque, NM",Tue Feb 08 23:44:59 +0000 2011,Albuquerque
125,"⚠️ROAD CLOSURE⚠️

Park Road (Southbound lanes only) between Selwyn Avenue and Tyvola Road are CLOSED and will re-op… https://t.co/TNZvF9lB8A",,,Thu Jan 10 18:38:10 +0000 2019,"[[[-81.046876, 35.001706], [-80.646695, 35.001706], [-80.646695, 35.416412], [-81.046876, 35.416412]]]",United States,US,"Charlotte, NC",Fri Feb 27 21:08:31 +0000 2009,"Charlotte, NC"
126,"@Marlboro2019 @mhs_class2020  ""Parts of Poirier Dr. may be closed throughout the week of January 14. This road work… https://t.co/88kepoRnj2",,,Thu Jan 10 18:26:37 +0000 2019,"[[[-71.625705, 42.3109818], [-71.475702, 42.3109818], [-71.475702, 42.380659], [-71.625705, 42.380659]]]",United States,US,"Marlborough, MA",Thu Aug 29 16:00:30 +0000 2013,
127,"Road construction, left lane closed in #SanAntonio on I-35 NB at Weidner, stop and go traffic back to Lp 410, delay of 5 mins #traffic",,"[-98.3792, 29.53987]",Thu Jan 10 17:53:57 +0000 2019,"[[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]]",United States,US,"San Antonio, TX",Wed Feb 09 23:42:58 +0000 2011,"San Antonio, TX"
128,"Road construction, right lane closed in #Chester on I-95 NB between Kerlin St and PA-320, jammed back to US-322, delay of 6 mins #traffic",,"[-75.37387, 39.85189]",Thu Jan 10 17:52:20 +0000 2019,"[[[-75.40809, 39.822204], [-75.343739, 39.822204], [-75.343739, 39.875846], [-75.40809, 39.875846]]]",United States,US,"Chester, PA",Wed Feb 09 22:44:21 +0000 2011,"Philadelphia, PA"
129,"Road construction, right lane closed in #Chester on I-95 NB between US-322 and Kerlin St, jammed back to PA-452, delay of 9 mins #traffic",,"[-75.39202, 39.84554]",Thu Jan 10 17:31:48 +0000 2019,"[[[-75.417933, 39.839119], [-75.384703, 39.839119], [-75.384703, 39.861338], [-75.417933, 39.861338]]]",United States,US,"Chester Township, PA",Wed Feb 09 22:44:21 +0000 2011,"Philadelphia, PA"
130,"Road construction, right lane closed in #ElPaso on TX-375 Lp NB between S Zaragoza Rd and Padres Dr #traffic https://t.co/nZ2qPHc0XJ",,"[-106.3357, 31.67467]",Thu Jan 10 17:17:51 +0000 2019,"[[[-106.634874, 31.6206683], [-106.199987, 31.6206683], [-106.199987, 31.966068], [-106.634874, 31.966068]]]",United States,US,"El Paso, TX",Thu Feb 10 20:42:54 +0000 2011,"El Paso, TX"
131,"Road construction, left lane closed in #Euless on 121 NB at Harwood Rd, stop and go traffic back to Bedford Rd, delay of 4 mins #DFWTraffic",,"[-97.11132, 32.85191]",Thu Jan 10 17:04:59 +0000 2019,"[[[-97.1686653, 32.822102], [-97.099752, 32.822102], [-97.099752, 32.8677644], [-97.1686653, 32.8677644]]]",United States,US,"Bedford, TX",Thu May 21 21:15:33 +0000 2009,Dallas/Fort Worth
132,"Road construction, right lane closed in #ElPaso on Gtwy Blvd N NB between Hercules Ave and Hondo Pass Dr #traffic https://t.co/nZ2qPHc0XJ",,"[-106.4403, 31.85508]",Thu Jan 10 17:04:58 +0000 2019,"[[[-106.634874, 31.6206683], [-106.199987, 31.6206683], [-106.199987, 31.966068], [-106.634874, 31.966068]]]",United States,US,"El Paso, TX",Thu Feb 10 20:42:54 +0000 2011,"El Paso, TX"
133,"Road construction, shoulder closed in #Conshohocken on I-76 WB between Conshohocken Curve and Conshohocken, delay of 2 mins #traffic",,"[-75.27986, 40.06937]",Thu Jan 10 16:46:36 +0000 2019,"[[[-80.519851, 39.719801], [-74.689517, 39.719801], [-74.689517, 42.516072], [-80.519851, 42.516072]]]",United States,US,"Pennsylvania, USA",Wed Feb 09 22:44:21 +0000 2011,"Philadelphia, PA"
